Geo Code,Geo Name,Line Number
"01K1L","K1L",83949
"01K1M","K1M",84076
"01K1N","K1N",84203
"01K1P","K1P",84330
"01K1R","K1R",84457
"01K1S","K1S",84584
"01K1T","K1T",84711
"01K1V","K1V",84838
"01K1W","K1W",84965
"01K1X","K1X",85092
"01K1Y","K1Y",85219
"01K1Z","K1Z",85346
"01K2A","K2A",85473
"01K2B","K2B",85600
"01K2C","K2C",85727
"01K2E","K2E",85854
"01K2G","K2G",85981
"01K2H","K2H",86108
"01K2J","K2J",86235
"01K2K","K2K",86362
"01K2L","K2L",86489
"01K2M","K2M",86616
"01K2P","K2P",86743
"01K2R","K2R",86870
"01K2S","K2S",86997
"01K2T","K2T",87124
"01K2V","K2V",87251
"01K2W","K2W",87378
"01K4A","K4A",87505
"01K4B","K4B",87632
"01K4C","K4C",87759
"01K4K","K4K",87886
"01K4M","K4M",88013
"01K4P","K4P",88140
"01K4R","K4R",88267
"01K6A","K6A",88394
"01K6H","K6H",88521
"01K6J","K6J",88648
"01K6K","K6K",88775
"01K6T","K6T",88902
"01K6V","K6V",89029
"01K7A","K7A",89156
"01K7C","K7C",89283
"01K7G","K7G",89410
"01K7H","K7H",89537
"01K7K","K7K",89664
"01K7L","K7L",89791
"01K7M","K7M",89918
"01K7N","K7N",90045
"01K7P","K7P",90172
"01K7R","K7R",90299
"01K7S","K7S",90426
"01K7V","K7V",90553
"01K8A","K8A",90680
"01K8B","K8B",90807
"01K8H","K8H",90934
"01K8N","K8N",91061
"01K8P","K8P",91188
"01K8R","K8R",91315
"01K8V","K8V",91442
"01K9A","K9A",91569
"01K9H","K9H",91696
"01K9J","K9J",91823
"01K9K","K9K",91950
"01K9L","K9L",92077
"01K9V","K9V",92204
"01L0A","L0A",92331
"01L0B","L0B",92458
"01L0C","L0C",92585
"01L0E","L0E",92712
"01L0G","L0G",92839
"01L0H","L0H",92966
"01L0J","L0J",93093
"01L0K","L0K",93220
"01L0L","L0L",93347
"01L0M","L0M",93474
"01L0N","L0N",93601
"01L0P","L0P",93728
"01L0R","L0R",93855
"01L0S","L0S",93982
"01L1A","L1A",94109
"01L1B","L1B",94236
"01L1C","L1C",94363
"01L1E","L1E",94490
"01L1G","L1G",94617
"01L1H","L1H",94744
"01L1J","L1J",94871
"01L1K","L1K",94998
"01L1L","L1L",95125
"01L1M","L1M",95252
"01L1N","L1N",95379
"01L1P","L1P",95506
"01L1R","L1R",95633
"01L1S","L1S",95760
"01L1T","L1T",95887
"01L1V","L1V",96014
"01L1W","L1W",96141
"01L1X","L1X",96268
"01L1Y","L1Y",96395
"01L1Z","L1Z",96522
"01L2A","L2A",96649
"01L2E","L2E",96776
"01L2G","L2G",96903
"01L2H","L2H",97030
"01L2J","L2J",97157
"01L2M","L2M",97284
"01L2N","L2N",97411
"01L2P","L2P",97538
"01L2R","L2R",97665
"01L2S","L2S",97792
"01L2T","L2T",97919
"01L2V","L2V",98046
"01L2W","L2W",98173
"01L3B","L3B",98300
"01L3C","L3C",98427
"01L3K","L3K",98554
"01L3M","L3M",98681
"01L3P","L3P",98808
"01L3R","L3R",98935
"01L3S","L3S",99062
"01L3T","L3T",99189
"01L3V","L3V",99316
"01L3X","L3X",99443
"01L3Y","L3Y",99570
"01L3Z","L3Z",99697
"01L4A","L4A",99824
"01L4B","L4B",99951
"01L4C","L4C",100078
"01L4E","L4E",100205
"01L4G","L4G",100332
"01L4H","L4H",100459
"01L4J","L4J",100586
"01L4K","L4K",100713
"01L4L","L4L",100840
"01L4M","L4M",100967
"01L4N","L4N",101094
"01L4P","L4P",101221
"01L4R","L4R",101348
"01L4S","L4S",101475
"01L4T","L4T",101602
"01L4W","L4W",101729
"01L4X","L4X",101856
"01L4Y","L4Y",101983
"01L4Z","L4Z",102110
"01L5A","L5A",102237
"01L5B","L5B",102364
"01L5C","L5C",102491
"01L5E","L5E",102618
"01L5G","L5G",102745
"01L5H","L5H",102872
"01L5J","L5J",102999
"01L5K","L5K",103126
"01L5L","L5L",103253
"01L5M","L5M",103380
"01L5N","L5N",103507
"01L5R","L5R",103634
"01L5V","L5V",103761
"01L5W","L5W",103888
"01L6A","L6A",104015
"01L6B","L6B",104142
"01L6C","L6C",104269
"01L6E","L6E",104396
"01L6G","L6G",104523
"01L6H","L6H",104650
"01L6J","L6J",104777
"01L6K","L6K",104904
"01L6L","L6L",105031
"01L6M","L6M",105158
"01L6P","L6P",105285
"01L6R","L6R",105412
"01L6S","L6S",105539
"01L6T","L6T",105666
"01L6V","L6V",105793
"01L6W","L6W",105920
"01L6X","L6X",106047
"01L6Y","L6Y",106174
"01L6Z","L6Z",106301
"01L7A","L7A",106428
"01L7B","L7B",106555
"01L7C","L7C",106682
"01L7E","L7E",106809
"01L7G","L7G",106936
"01L7J","L7J",107063
"01L7K","L7K",107190
"01L7L","L7L",107317
"01L7M","L7M",107444
"01L7N","L7N",107571
"01L7P","L7P",107698
"01L7R","L7R",107825
"01L7S","L7S",107952
"01L7T","L7T",108079
"01L8E","L8E",108206
"01L8G","L8G",108333
"01L8H","L8H",108460
"01L8J","L8J",108587
"01L8K","L8K",108714
"01L8L","L8L",108841
"01L8M","L8M",108968
"01L8N","L8N",109095
"01L8P","L8P",109222
"01L8R","L8R",109349
"01L8S","L8S",109476
"01L8T","L8T",109603
"01L8V","L8V",109730
"01L8W","L8W",109857
"01L9A","L9A",109984
"01L9B","L9B",110111
"01L9C","L9C",110238
"01L9E","L9E",110365
"01L9G","L9G",110492
"01L9H","L9H",110619
"01L9J","L9J",110746
"01L9K","L9K",110873
"01L9L","L9L",111000
"01L9M","L9M",111127
"01L9N","L9N",111254
"01L9P","L9P",111381
"01L9R","L9R",111508
"01L9S","L9S",111635
"01L9T","L9T",111762
"01L9V","L9V",111889
"01L9W","L9W",112016
"01L9Y","L9Y",112143
"01L9Z","L9Z",112270
"01M1B","M1B",112397
"01M1C","M1C",112524
"01M1E","M1E",112651
"01M1G","M1G",112778
"01M1H","M1H",112905
"01M1J","M1J",113032
"01M1K","M1K",113159
"01M1L","M1L",113286
"01M1M","M1M",113413
"01M1N","M1N",113540
"01M1P","M1P",113667
"01M1R","M1R",113794
"01M1S","M1S",113921
"01M1T","M1T",114048
"01M1V","M1V",114175
"01M1W","M1W",114302
"01M1X","M1X",114429
"01M2H","M2H",114556
"01M2J","M2J",114683
"01M2K","M2K",114810
"01M2L","M2L",114937
"01M2M","M2M",115064
"01M2N","M2N",115191
"01M2P","M2P",115318
"01M2R","M2R",115445
"01M3A","M3A",115572
"01M3B","M3B",115699
"01M3C","M3C",115826
"01M3H","M3H",115953
"01M3J","M3J",116080
"01M3K","M3K",116207
"01M3L","M3L",116334
"01M3M","M3M",116461
"01M3N","M3N",116588
"01M4A","M4A",116715
"01M4B","M4B",116842
"01M4C","M4C",116969
"01M4E","M4E",117096
"01M4G","M4G",117223
"01M4H","M4H",117350
"01M4J","M4J",117477
"01M4K","M4K",117604
"01M4L","M4L",117731
"01M4M","M4M",117858
"01M4N","M4N",117985
"01M4P","M4P",118112
"01M4R","M4R",118239
"01M4S","M4S",118366
"01M4T","M4T",118493
"01M4V","M4V",118620
"01M4W","M4W",118747
"01M4X","M4X",118874
"01M4Y","M4Y",119001
"01M5A","M5A",119128
"01M5B","M5B",119255
"01M5C","M5C",119382
"01M5E","M5E",119509
"01M5G","M5G",119636
"01M5H","M5H",119763
"01M5J","M5J",119890
"01M5M","M5M",120017
"01M5N","M5N",120144
"01M5P","M5P",120271
"01M5R","M5R",120398
"01M5S","M5S",120525
"01M5T","M5T",120652
"01M5V","M5V",120779
"01M6A","M6A",120906
"01M6B","M6B",121033
"01M6C","M6C",121160
"01M6E","M6E",121287
"01M6G","M6G",121414
"01M6H","M6H",121541
"01M6J","M6J",121668
"01M6K","M6K",121795
"01M6L","M6L",121922
"01M6M","M6M",122049
"01M6N","M6N",122176
"01M6P","M6P",122303
"01M6R","M6R",122430
"01M6S","M6S",122557
"01M8V","M8V",122684
"01M8W","M8W",122811
"01M8X","M8X",122938
"01M8Y","M8Y",123065
"01M8Z","M8Z",123192
"01M9A","M9A",123319
"01M9B","M9B",123446
"01M9C","M9C",123573
"01M9L","M9L",123700
"01M9M","M9M",123827
"01M9N","M9N",123954
"01M9P","M9P",124081
"01M9R","M9R",124208
"01M9V","M9V",124335
"01M9W","M9W",124462
"01N0A","N0A",124589
"01N0B","N0B",124716
"01N0C","N0C",124843
"01N0E","N0E",124970
"01N0G","N0G",125097
"01N0H","N0H",125224
"01N0J","N0J",125351
"01N0K","N0K",125478
"01N0L","N0L",125605
"01N0M","N0M",125732
"01N0N","N0N",125859
"01N0P","N0P",125986
"01N0R","N0R",126113
"01N1A","N1A",126240
"01N1C","N1C",126367
"01N1E","N1E",126494
"01N1G","N1G",126621
"01N1H","N1H",126748
"01N1K","N1K",126875
"01N1L","N1L",127002
"01N1M","N1M",127129
"01N1P","N1P",127256
"01N1R","N1R",127383
"01N1S","N1S",127510
"01N1T","N1T",127637
"01N2A","N2A",127764
"01N2B","N2B",127891
"01N2C","N2C",128018
"01N2E","N2E",128145
"01N2G","N2G",128272
"01N2H","N2H",128399
"01N2J","N2J",128526
"01N2K","N2K",128653
"01N2L","N2L",128780
"01N2M","N2M",128907
"01N2N","N2N",129034
"01N2P","N2P",129161
"01N2R","N2R",129288
"01N2T","N2T",129415
"01N2V","N2V",129542
"01N2Z","N2Z",129669
"01N3A","N3A",129796
"01N3B","N3B",129923
"01N3C","N3C",130050
"01N3E","N3E",130177
"01N3H","N3H",130304
"01N3L","N3L",130431
"01N3P","N3P",130558
"01N3R","N3R",130685
"01N3S","N3S",130812
"01N3T","N3T",130939
"01N3V","N3V",131066
"01N3W","N3W",131193
"01N3Y","N3Y",131320
"01N4B","N4B",131447
"01N4G","N4G",131574
"01N4K","N4K",131701
"01N4L","N4L",131828
"01N4N","N4N",131955
"01N4S","N4S",132082
"01N4T","N4T",132209
"01N4V","N4V",132336
"01N4W","N4W",132463
"01N4X","N4X",132590
"01N4Z","N4Z",132717
"01N5A","N5A",132844
"01N5C","N5C",132971
"01N5H","N5H",133098
"01N5L","N5L",133225
"01N5P","N5P",133352
"01N5R","N5R",133479
"01N5V","N5V",133606
"01N5W","N5W",133733
